abidef,È±Ïİ·¦Ñø¾ú ,Abiotrophia defectiva
cdcvc2,ÉÙ¼ûÊÈÍ­¾ú,Cupriavidus pauculus
pseaci,Ê³Ëá´ú¶û·òÌØ¾ú,Delftia acidovorans
derhom,ÈËÆ¤·ô¸Ë¾ú,Dermabacter hominis
dernis,Î÷¹¬Æ¤ÉúÇò¾ú,Dermacoccus nishinomiyaensis
dernks,Î÷¹¬Æ¤ÉúÇò¾ú/×øÆ¤Çò¾ú,Dermacoccus nishinomiyaensis/Kytococcus sedentarius
diespp,µÏ´Ä¾úÊô,Dietzia spp
edwhos,±£¿Æ°®µÂ»ª¾ú,Edwardsiella hoshinae
edwtar,³Ù¶Û°®µÂ»ª¾ú,Edwardsiella tarda
eggcat,Á´×´°£¸ñÌØ¾ú,Eggerthella catenaformis
eublen,³Ù»º°£¸ñÌØ¾ú,Eggerthella lenta
eikcor,ÄöÊ´°¬¿Ï¾ú,Eikenella corrodens
flamen,ÄÔÄ¤Ñ×ÒÁÀöÉ¯°×½ğ¾ú,Elizabethkingia meningoseptica
entaer,²úÆø¿ËÀ×²®¾ú ,Klebsiella aerogenes
entasb,°¢ÊÏ³¦¸Ë¾ú,Enterobacter asburiae
enttay,Éú°©³¦¸Ë¾ú,Enterobacter cancerogenus
entcla,Òõ¹µ³¦¸Ë¾ú,Enterobacter cloacae 
entcpx,Òõ¹µ³¦¸Ë¾ú¸´ºÏ¾ú,Enterobacter cloacae complex
entclc,Òõ¹µ³¦¸Ë¾úÒõ¹µÑÇÖÖ,Enterobacter cloacae ssp cloacae
entcld,Òõ¹µ³¦¸Ë¾úÈÜ½âÑÇÖÖ,Enterobacter cloacae ssp dissolvens
enthor,»ôÊÏ³¦¸Ë¾ú,Enterobacter hormaechei
entkob,Éñ»§³¦¸Ë¾ú,Enterobacter kobei
entlud,Â·µÂÎ¬¸ñ³¦¸Ë¾ú,Enterobacter ludwigii
stravi,Äñ³¦Çò¾ú,Enterococcus avium
entcas,Ç¦»Æ³¦Çò¾ú,Enterococcus casseliflavus
entcec,Ã¤³¦³¦Çò¾ú,Enterococcus cecorum
entcol,¸çÂ×±ÈÑÇ³¦Çò¾ú,Enterococcus columbae
strdur,ÄÍ¾Ã³¦Çò¾ú,Enterococcus durans
strfae,·à³¦Çò¾ú,Enterococcus faecalis
strfac,Êº³¦Çò¾ú,Enterococcus faecium
entgal,ğÈ¼¦³¦Çò¾ú,Enterococcus gallinarum
enthir,Ğ¡³¦³¦Çò¾ú,Enterococcus hirae
entmal,²¡³ô³¦Çò¾ú,Enterococcus malodoratus
entmun,ÃÉÌØ³¦Çò¾ú,Enterococcus mundtii
entraf,ÃŞ×ÓÌÇ³¦Çò¾ú,Enterococcus raffinosus
ensac,½âÌÇ³¦Çò¾ú,Enterococcus saccharolyticus
entspp,³¦Çò¾úÊô,Enterococcus spp
